Date,Meal Type,Menu Items,Main Menu
2025.04.29( 화 ),맛난한끼(11:30~13:30),"차슈덮밥 (돈:국산), 가쓰오장국, 냉우동, 깍두기, 한라봉샐러드",차슈덮밥 (돈:국산)
2025.04.30( 수 ),맛난한끼(11:30~13:30),"물냉면, 바싹불고기 (돈:국산), 백미밥, 열무김치, 교자만두찜 (돈:국산)",물냉면
2025.05.01( 목 ),맛난한끼(11:30~13:30),"안성장터국밥 (우:호주산), 백미밥, 녹두전, 양파초절임, 깍두기",안성장터국밥 (우:호주산)
2025.05.02( 금 ),맛난한끼(11:30~13:30),"군대리아 (돈:외국산), 감자튀김, 건프라이크*우유, 크림스프, 수제모듬피클",군대리아 (돈:외국산)
2025.04.21( 월 ),맛난한끼(11:30~13:30),"비프카레라이스 (호주산), 치킨가라아게 (국산), 백미밥, 단무지, 포기김치",비프카레라이스 (호주산)
2025.04.22( 화 ),맛난한끼(11:30~13:30),"짜장밥 (돈:국산), 해물짬뽕국 (오징어:국산), 레몬크림새우, 포기김치, 알새우칩",짜장밥 (돈:국산)
2025.04.23( 수 ),맛난한끼(11:30~13:30),"누들떡볶이 (돈:국산), 모듬튀김 (돈:국산), 어묵국, 후리가케밥, 단무지, 오곡초코바",누들떡볶이 (돈:국산)
2025.04.24( 목 ),맛난한끼(11:30~13:30),"가츠동덮밥 (돈:국산), 야채쫄면, 미소장국, 수제피클, 전남친토스트",가츠동덮밥 (돈:국산)
2025.04.25( 금 ),맛난한끼(11:30~13:30),"피자 (돈:국산), 오븐스파게티 (돈:국산), 수제피클, 깍두기, 체리콕",피자 (돈:국산)
2025.04.14( 월 ),맛난한끼(11:30~13:30),"스팸마요덮밥 (돈:외국산), 미역국, 팝콘치킨 (계:국산), 그린샐러드, 포기김치, 개교기념일 기념! 롤케이크",스팸마요덮밥 (돈:외국산)
2025.04.15( 화 ),맛난한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,등록된 식단내용이(가) 없습니다.
2025.04.16( 수 ),맛난한끼(11:30~13:30),"미니소바, 고구마돈까스 (돈:국산), 백미밥, 양배추샐러드, 깍두기",미니소바
2025.04.17( 목 ),맛난한끼(11:30~13:30),"장터국밥 (우:뉴질랜드산), 메밀전병, 백미밥, 양파초절임, 석박지",장터국밥 (우:뉴질랜드산)
2025.04.18( 금 ),맛난한끼(11:30~13:30),"양지쌀국수 (우:호주산), 나시고랭볶음밥, 고구마롤, 망고요거트, 포기김치",양지쌀국수 (우:호주산)
