Date,Meal Type,Menu Items,StationID,StationName,AveTemp,Precipitation,Rain
2025-04-24,건강한끼(11:30~13:30),차돌된장찌개 (우:호주산)편육냉채 (돈:국산)개성감자만두 (돈:국산)백미밥시금치포기김치,119.0,수원,13.0,0.0,0.0
2025-04-25,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,11.2,0.0,0.0
2025-04-26,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,13.0,0.0,0.0
2025-04-27,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,14.8,0.0,0.0
2025-04-14,건강한끼(11:30~13:30),미역국백미밥묵은지사태찜 (돈:국산)새우계란찜연근땅콩조림깍두기개교기념일 기념! 롤케이크,119.0,수원,4.5,5.7,1.0
2025-04-15,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,7.3,0.0,0.0
2025-04-16,건강한끼(11:30~13:30),떡만두국 (돈:국산)매콤콩나물불고기 (돈:미국산)백미밥알감자버터구이취나물무침포기김치,119.0,수원,13.8,0.0,0.0
2025-04-17,건강한끼(11:30~13:30),두부김치국토마토소스미트볼 (돈:국산)닭가슴살샐러드 (계:국산)백미밥건새우마늘쫑볶음깍두기,119.0,수원,19.3,0.0,0.0
2025-04-18,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,16.8,0.0,0.0
2025-04-19,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,15.7,3.3,1.0
2025-04-20,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,15.7,0.0,0.0
2025-04-07,건강한끼(11:30~13:30),호박고추장찌개백미밥도시락김육전*파채(돈:외국산)참나물유자샐러드포기김치,119.0,수원,12.4,0.0,0.0
2025-04-08,건강한끼(11:30~13:30),열무된장국고추장불고기 (돈:미국산)백미밥계란찜양배추쌈포기김치,119.0,수원,12.4,0.0,0.0
2025-04-09,건강한끼(11:30~13:30),육개장 (우:호주산)언양식불고기 (돈:국산)봄동겉절이백미밥미역줄기볶음깍두기,119.0,수원,11.6,0.2,1.0
2025-04-10,건강한끼(11:30~13:30),돈육스팸김치찌개 (돈:국산)코다리강정 (러시아산)곤드레두부무침백미밥유채나물깍두기,119.0,수원,11.9,0.0,0.0
2025-04-11,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,13.9,0.0,0.0
2025-04-12,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,11.5,14.6,1.0
2025-04-13,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,5.6,4.3,1.0
2025-03-31,건강한끼(11:30~13:30),간장돈육불고기 (돈:국산)참깨수제비국어묵콩나물찜백미밥양배추찜깍두기,119.0,수원,7.2,0.0,0.0
2025-04-01,건강한끼(11:30~13:30),순살감자탕 (돈:국산)언양식불고기 (돈:국산)고추장감자조림김구이아삭이고추무침포기김치,119.0,수원,8.5,0.0,0.0
2025-04-02,건강한끼(11:30~13:30),"부대볶음 (돈,계:외국산)오징어링튀김 (중국산)아욱된장국백미밥참나물샐러드깍두기",119.0,수원,7.8,0.0,0.0
2025-04-03,건강한끼(11:30~13:30),안동찜닭 (계:국산)감자고추장찌개날치알계란찜백미밥미나리숙주무침포기김치,119.0,수원,8.3,0.0,0.0
2025-04-04,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,9.1,0.0,0.0
2025-04-05,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,8.1,20.4,1.0
2025-04-06,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,9.4,0.0,0.0
2025-03-24,건강한끼(11:30~13:30),묵은지 닭찜 (계:국산)단호박샐러드백미밥어묵탕우엉조림깍두기,119.0,수원,14.0,0.0,0.0
2025-03-25,건강한끼(11:30~13:30),곤드레밥*양념장돈육장조림 (국산)김구이된장찌개통감자토마토샐러드포기김치,119.0,수원,12.3,0.0,0.0
2025-03-26,건강한끼(11:30~13:30),해물순두부찌개크런치가자미튀김고구마맛탕백미밥치커리겉절이포기김치,119.0,수원,14.7,0.0,0.0
2025-03-27,건강한끼(11:30~13:30),아욱된장국훈제오리볶음 (중국산)백미밥계란찜세발나물무침열무김치,119.0,수원,13.2,0.2,1.0
2025-03-28,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,6.6,0.0,0.0
2025-03-29,건강한끼(11:30~13:30),등록된 식단내용이(가) 없습니다.,119.0,수원,2.3,2.7,1.0
